City,State,Confirmed,Deaths,Recovered,Active
Abbeville,South Carolina,10,0,0,10
Acadia,Louisiana,110,6,0,104
Accomack,Virginia,28,0,0,28
Ada,Idaho,576,9,0,567
Adair,Iowa,1,0,0,1
Adair,Kentucky,45,3,0,42
Adair,Missouri,12,0,0,12
Adair,Oklahoma,29,3,0,26
Adams,Colorado,805,29,0,776
Adams,Idaho,1,0,0,1
Adams,Illinois,30,0,0,30
Adams,Indiana,6,1,0,5
Adams,Mississippi,73,5,0,68
Adams,Nebraska,64,0,0,64
Adams,Ohio,3,0,0,3
Adams,Pennsylvania,70,1,0,69
Adams,Washington,40,0,0,40
Adams,Wisconsin,4,1,0,3
Addison,Vermont,57,1,0,56
Aiken,South Carolina,66,3,0,63
Aitkin,Minnesota,1,0,0,1
Alachua,Florida,202,0,0,202
Alamance,North Carolina,47,0,0,47
Alameda,California,1063,40,0,1023
Alamosa,Colorado,7,2,0,5
Albany,New York,619,20,0,599
Albany,Wyoming,6,0,0,6
Albemarle,Virginia,56,0,0,56
Alcona,Michigan,1,0,0,1
Alcorn,Mississippi,7,0,0,7
Alexander,Illinois,1,0,0,1
Alexander,North Carolina,3,0,0,3
Alexandria,Virginia,321,7,0,314
Alfalfa,Oklahoma,1,0,0,1
Allamakee,Iowa,27,3,0,24
Allegan,Michigan,29,0,0,29
Allegany,Maryland,26,1,0,25
Allegany,New York,29,1,0,28
Alleghany,North Carolina,2,0,0,2
Alleghany,Virginia,4,0,0,4
Allegheny,Pennsylvania,947,43,0,904
Allen,Indiana,271,19,0,252
Allen,Kentucky,4,0,0,4
Allen,Louisiana,79,9,0,70
Allen,Ohio,65,9,0,56
Allendale,South Carolina,6,0,0,6
Alpena,Michigan,2,0,0,2
Alpine,California,2,0,0,2
Amador,California,7,0,0,7
Amelia,Virginia,13,0,0,13
Amherst,Virginia,10,0,0,10
Amite,Mississippi,17,1,0,16
Anchorage,Alaska,150,4,0,146
Anderson,Kansas,0,0,0,0
Anderson,Kentucky,5,1,0,4
Anderson,South Carolina,127,5,0,122
Anderson,Tennessee,16,1,0,15
Anderson,Texas,6,0,0,6
Andrew,Missouri,1,0,0,1
Andrews,Texas,19,0,0,19
Androscoggin,Maine,32,1,0,31
Angelina,Texas,23,0,0,23
Anne Arundel,Maryland,966,34,0,932
Anoka,Minnesota,83,1,0,82
Anson,North Carolina,15,0,0,15
Antelope,Nebraska,1,0,0,1
Antrim,Michigan,8,0,0,8
Apache,Arizona,141,0,0,141
Appanoose,Iowa,2,1,0,1
Appling,Georgia,18,0,0,18
Appomattox,Virginia,7,0,0,7
Aransas,Texas,2,0,0,2
Arapahoe,Colorado,1342,55,0,1287
Archuleta,Colorado,6,0,0,6
Arenac,Michigan,7,0,0,7
Arkansas,Arkansas,2,0,0,2
Arlington,Virginia,485,16,0,469
Armstrong,Pennsylvania,32,2,0,30
Armstrong,Texas,1,0,0,1
Aroostook,Maine,2,0,0,2
Ascension,Louisiana,468,30,0,438
Ashe,North Carolina,4,0,0,4
Ashland,Ohio,5,0,0,5
Ashland,Wisconsin,2,0,0,2
Ashley,Arkansas,11,0,0,11
Ashtabula,Ohio,54,4,0,50
Asotin,Washington,11,0,0,11
Assumption,Louisiana,137,1,0,136
Atascosa,Texas,10,1,0,9
Atchison,Kansas,4,0,0,4
Atchison,Missouri,2,0,0,2
Athens,Ohio,3,1,0,2
Atkinson,Georgia,5,0,0,5
Atlantic,New Jersey,370,17,0,353
Atoka,Oklahoma,1,0,0,1
Attala,Mississippi,31,0,0,31
Audubon,Iowa,1,0,0,1
Auglaize,Ohio,21,1,0,20
Augusta,Virginia,19,0,0,19
Aurora,South Dakota,1,0,0,1
Austin,Texas,12,0,0,12
Autauga,Alabama,26,2,0,24
Avoyelles,Louisiana,68,3,0,65
Baca,Colorado,10,0,0,10
Bacon,Georgia,17,1,0,16
Baker,Florida,17,3,0,14
Baker,Georgia,19,2,0,17
Baldwin,Alabama,103,2,0,101
Baldwin,Georgia,109,2,0,107
Ballard,Kentucky,3,0,0,3
Baltimore,Maryland,1569,37,0,1532
Baltimore City,Maryland,1273,38,0,1235
Bamberg,South Carolina,7,0,0,7
Bandera,Texas,4,0,0,4
Banks,Georgia,13,0,0,13
Bannock,Idaho,8,0,0,8
Baraga,Michigan,0,0,0,0
Barber,Kansas,1,0,0,1
Barbour,Alabama,15,0,0,15
Barbour,West Virginia,4,0,0,4
Barnes,North Dakota,2,0,0,2
Barnstable,Massachusetts,573,18,0,555
Barnwell,South Carolina,5,0,0,5
Barren,Kentucky,6,0,0,6
Barron,Wisconsin,6,0,0,6
Barrow,Georgia,84,3,0,81
Barry,Michigan,21,1,0,20
Barry,Missouri,3,0,0,3
Bartholomew,Indiana,130,6,0,124
Barton,Kansas,6,0,0,6
Bartow,Georgia,242,22,0,220
Bastrop,Texas,42,1,0,41
Bates,Missouri,6,1,0,5
Bath,Kentucky,3,0,0,3
Bath,Virginia,0,0,0,0
Baxter,Arkansas,4,0,0,4
Bay,Florida,44,2,0,42
Bay,Michigan,69,2,0,67
Bayfield,Wisconsin,3,0,0,3
Beadle,South Dakota,21,2,0,19
Beaufort,North Carolina,14,0,0,14
Beaufort,South Carolina,214,6,0,208
Beauregard,Louisiana,35,2,0,33
Beaver,Oklahoma,1,0,0,1
Beaver,Pennsylvania,178,15,0,163
Beaverhead,Montana,1,0,0,1
Becker,Minnesota,1,0,0,1
Beckham,Oklahoma,2,0,0,2
Bedford,Pennsylvania,13,1,0,12
Bedford,Tennessee,40,2,0,38
Bedford,Virginia,17,0,0,17
Bee,Texas,5,0,0,5
Belknap,New Hampshire,25,0,0,25
Bell,Texas,124,3,0,121
Belmont,Ohio,63,3,0,60
Beltrami,Minnesota,5,0,0,5
Ben Hill,Georgia,13,0,0,13
Bennington,Vermont,33,1,0,32
Benton,Arkansas,62,0,0,62
Benton,Indiana,4,0,0,4
Benton,Iowa,21,1,0,20
Benton,Minnesota,4,0,0,4
Benton,Mississippi,6,0,0,6
Benton,Missouri,3,0,0,3
Benton,Oregon,27,4,0,23
Benton,Tennessee,4,0,0,4
Benton,Washington,295,34,0,261
Benzie,Michigan,0,0,0,0
Bergen,New Jersey,11863,714,0,11149
Berkeley,South Carolina,123,3,0,120
Berkeley,West Virginia,106,1,0,105
Berks,Pennsylvania,1537,34,0,1503
Berkshire,Massachusetts,383,24,0,359
Bernalillo,New Mexico,491,18,0,473
Berrien,Georgia,10,0,0,10
Berrien,Michigan,144,8,0,136
Bertie,North Carolina,18,1,0,17
Bethel,Alaska,1,0,0,1
Bexar,Texas,918,37,0,881
Bibb,Alabama,24,0,0,24
Bibb,Georgia,188,1,0,187
Bienville,Louisiana,58,9,0,49
Big Horn,Montana,3,0,0,3
Big Horn,Wyoming,1,0,0,1
Big Stone,Minnesota,1,0,0,1
Bingham,Idaho,3,0,0,3
Black Hawk,Iowa,138,1,0,137
Blackford,Indiana,6,1,0,5
Bladen,North Carolina,2,0,0,2
Blaine,Idaho,473,5,0,468
Blair,Pennsylvania,14,0,0,14
Blanco,Texas,5,0,0,5
Bland,Virginia,0,0,0,0
Bleckley,Georgia,4,0,0,4
Bledsoe,Tennessee,7,0,0,7
Blount,Alabama,20,0,0,20
Blount,Tennessee,46,3,0,43
Blue Earth,Minnesota,23,0,0,23
Bolivar,Mississippi,76,5,0,71
Bollinger,Missouri,3,0,0,3
Bon Homme,South Dakota,4,0,0,4
Bond,Illinois,4,1,0,3
Bonner,Idaho,4,0,0,4
Bonneville,Idaho,24,0,0,24
Boone,Arkansas,3,0,0,3
Boone,Illinois,21,2,0,19
Boone,Indiana,145,7,0,138
Boone,Iowa,4,0,0,4
Boone,Kentucky,73,2,0,71
Boone,Missouri,93,1,0,92
Boone,West Virginia,2,0,0,2
Bosque,Texas,1,0,0,1
Bossier,Louisiana,230,11,0,219
Botetourt,Virginia,23,0,0,23
Boulder,Colorado,312,15,0,297
Boundary,Idaho,0,0,0,0
Bourbon,Kansas,7,1,0,6
Bourbon,Kentucky,5,1,0,4
Bowie,Texas,53,1,0,52
Bowman,North Dakota,1,0,0,1
Box Butte,Nebraska,1,0,0,1
Box Elder,Utah,54,0,0,54
Boyd,Kentucky,29,2,0,27
Boyle,Kentucky,13,0,0,13
Bracken,Kentucky,7,0,0,7
Bradford,Florida,40,2,0,38
Bradford,Pennsylvania,20,0,0,20
Bradley,Arkansas,7,0,0,7
Bradley,Tennessee,35,1,0,34
Branch,Michigan,35,2,0,33
Brantley,Georgia,16,1,0,15
Braxton,West Virginia,1,0,0,1
Brazoria,Texas,285,3,0,282
Brazos,Texas,164,15,0,149
Breathitt,Kentucky,1,0,0,1
Breckinridge,Kentucky,5,0,0,5
Bremer,Iowa,23,0,0,23
Brevard,Florida,205,7,0,198
Bristol,Massachusetts,1659,63,0,1596
Bristol,Rhode Island,57,0,0,57
Bristol,Virginia,1,0,0,1
Broadwater,Montana,4,0,0,4
Brooke,West Virginia,3,0,0,3
Brookings,South Dakota,9,0,0,9
Brooks,Georgia,23,3,0,20
Broome,New York,178,8,0,170
Broomfield,Colorado,95,2,0,93
Broward,Florida,3688,107,0,3581
Brown,Indiana,14,1,0,13
Brown,Minnesota,7,1,0,6
Brown,Ohio,8,1,0,7
Brown,South Dakota,17,0,0,17
Brown,Texas,12,1,0,11
Brown,Wisconsin,180,1,0,179
Brule,South Dakota,0,0,0,0
Brunswick,North Carolina,36,2,0,34
Brunswick,Virginia,10,0,0,10
Bryan,Georgia,31,2,0,29
Bryan,Oklahoma,5,0,0,5
Buchanan,Iowa,8,0,0,8
Buchanan,Missouri,28,1,0,27
Buchanan,Virginia,12,0,0,12
Buckingham,Virginia,24,0,0,24
Bucks,Pennsylvania,1546,67,0,1479
Buena Vista,Iowa,2,0,0,2
Buena Vista,Virginia,5,0,0,5
Buffalo,Nebraska,44,1,0,43
Buffalo,Wisconsin,4,1,0,3
Bullitt,Kentucky,31,2,0,29
Bulloch,Georgia,26,1,0,25
Bullock,Alabama,8,0,0,8
Buncombe,North Carolina,47,3,0,44
Bureau,Illinois,7,0,0,7
Burke,Georgia,37,2,0,35
Burke,North Carolina,66,5,0,61
Burke,North Dakota,2,0,0,2
Burleigh,North Dakota,54,0,0,54
Burleson,Texas,9,0,0,9
Burlington,New Jersey,1366,54,0,1312
Burnet,Texas,8,0,0,8
Burt,Nebraska,1,0,0,1
Butler,Alabama,16,0,0,16
Butler,Iowa,1,0,0,1
Butler,Kansas,11,0,0,11
Butler,Kentucky,51,1,0,50
Butler,Missouri,22,0,0,22
Butler,Ohio,155,2,0,153
Butler,Pennsylvania,157,5,0,152
Butte,California,16,0,0,16
Butte,South Dakota,0,0,0,0
Butts,Georgia,40,0,0,40
Cabarrus,North Carolina,207,4,0,203
Cabell,West Virginia,28,0,0,28
Caddo,Louisiana,1220,56,0,1164
Caddo,Oklahoma,48,2,0,46
Calaveras,California,11,0,0,11
Calcasieu,Louisiana,309,16,0,293
Caldwell,Kentucky,11,0,0,11
Caldwell,Louisiana,19,0,0,19
Caldwell,Missouri,2,0,0,2
Caldwell,North Carolina,22,0,0,22
Caldwell,Texas,7,0,0,7
Caledonia,Vermont,10,0,0,10
Calhoun,Alabama,63,2,0,61
Calhoun,Florida,6,0,0,6
Calhoun,Georgia,60,2,0,58
Calhoun,Illinois,1,0,0,1
Calhoun,Michigan,130,5,0,125
Calhoun,Mississippi,32,2,0,30
Calhoun,South Carolina,6,1,0,5
Calhoun,Texas,21,0,0,21
Callahan,Texas,1,0,0,1
Callaway,Missouri,21,1,0,20
Calloway,Kentucky,22,1,0,21
Calumet,Wisconsin,5,0,0,5
Calvert,Maryland,109,2,0,107
Camas,Idaho,1,0,0,1
Cambria,Pennsylvania,14,1,0,13
Camden,Georgia,27,0,0,27
Camden,Missouri,32,1,0,31
Camden,New Jersey,1807,64,0,1743
Cameron,Louisiana,2,0,0,2
Cameron,Pennsylvania,1,0,0,1
Cameron,Texas,270,4,0,266
Camp,Texas,6,0,0,6
Campbell,Kentucky,55,5,0,50
Campbell,Tennessee,12,1,0,11
Campbell,Virginia,9,0,0,9
Campbell,Wyoming,13,0,0,13
Canadian,Oklahoma,65,3,0,62
Candler,Georgia,4,0,0,4
Cannon,Tennessee,8,0,0,8
Canyon,Idaho,181,5,0,176
Cape Girardeau,Missouri,35,1,0,34
Cape May,New Jersey,189,14,0,175
Carbon,Montana,6,0,0,6
Carbon,Pennsylvania,118,7,0,111
Carbon,Wyoming,4,0,0,4
Caribou,Idaho,1,0,0,1
Carlton,Minnesota,32,0,0,32
Caroline,Maryland,28,0,0,28
Caroline,Virginia,11,0,0,11
Carroll,Arkansas,2,0,0,2
Carroll,Georgia,260,7,0,253
Carroll,Illinois,5,1,0,4
Carroll,Indiana,6,1,0,5
Carroll,Iowa,1,0,0,1
Carroll,Kentucky,2,0,0,2
Carroll,Maryland,288,25,0,263
Carroll,Mississippi,10,1,0,9
Carroll,New Hampshire,32,0,0,32
Carroll,Ohio,15,0,0,15
Carroll,Tennessee,13,0,0,13
Carroll,Virginia,3,0,0,3
Carson City,Nevada,27,0,0,27
Carter,Kentucky,4,0,0,4
Carter,Missouri,3,1,0,2
Carter,Oklahoma,1,0,0,1
Carter,Tennessee,5,1,0,4
Carteret,North Carolina,22,1,0,21
Carver,Minnesota,14,0,0,14
Cascade,Montana,13,0,0,13
Casey,Kentucky,1,0,0,1
Cass,Indiana,50,1,0,49
Cass,Iowa,1,0,0,1
Cass,Michigan,22,1,0,21
Cass,Minnesota,4,0,0,4
Cass,Missouri,50,5,0,45
Cass,Nebraska,3,0,0,3
Cass,North Dakota,152,2,0,150
Cass,Texas,6,0,0,6
Cassia,Idaho,10,1,0,9
Castro,Texas,11,1,0,10
Caswell,North Carolina,7,0,0,7
Catahoula,Louisiana,23,1,0,22
Catawba,North Carolina,43,1,0,42
Catoosa,Georgia,18,0,0,18
Catron,New Mexico,1,0,0,1
Cattaraugus,New York,34,0,0,34
Cayuga,New York,36,1,0,35
Cecil,Maryland,127,2,0,125
Cedar,Iowa,23,0,0,23
Cedar,Missouri,5,0,0,5
Cedar,Nebraska,0,0,0,0
Centre,Pennsylvania,73,1,0,72
Cerro Gordo,Iowa,14,0,0,14
Chaffee,Colorado,35,4,0,31
Chambers,Alabama,236,11,0,225
Chambers,Texas,34,0,0,34
Champaign,Illinois,92,4,0,88
Champaign,Ohio,6,1,0,5
Chariton,Missouri,4,0,0,4
Charles,Maryland,337,15,0,322
Charles City,Virginia,10,0,0,10
Charles Mix,South Dakota,4,0,0,4
Charleston,South Carolina,385,3,0,382
Charlevoix,Michigan,11,1,0,10
Charlotte,Florida,131,9,0,122
Charlotte,Virginia,8,0,0,8
Charlottesville,Virginia,40,1,0,39
Charlton,Georgia,5,0,0,5
Chase,Kansas,1,0,0,1
Chatham,Georgia,173,5,0,168
Chatham,North Carolina,85,1,0,84
Chattahoochee,Georgia,6,0,0,6
Chattooga,Georgia,9,1,0,8
Chautauqua,Kansas,3,0,0,3
Chautauqua,New York,25,3,0,22
Chaves,New Mexico,19,0,0,19
Cheatham,Tennessee,20,0,0,20
Cheboygan,Michigan,12,1,0,11
Chelan,Washington,66,6,0,60
Chemung,New York,71,1,0,70
Chenango,New York,76,0,0,76
Cherokee,Alabama,12,0,0,12
Cherokee,Georgia,266,8,0,258
Cherokee,Kansas,7,0,0,7
Cherokee,North Carolina,16,1,0,15
Cherokee,Oklahoma,22,1,0,21
Cherokee,South Carolina,13,0,0,13
Cherokee,Texas,10,1,0,9
Cherry,Nebraska,1,0,0,1
Chesapeake,Virginia,147,4,0,143
Cheshire,New Hampshire,27,0,0,27
Chester,Pennsylvania,739,30,0,709
Chester,South Carolina,23,0,0,23
Chester,Tennessee,6,0,0,6
Chesterfield,South Carolina,31,0,0,31
Chesterfield,Virginia,291,0,0,291
Cheyenne,Nebraska,3,0,0,3
Chickasaw,Iowa,2,0,0,2
Chickasaw,Mississippi,39,2,0,37
Chicot,Arkansas,7,0,0,7
Chilton,Alabama,37,0,0,37
Chippewa,Michigan,0,0,0,0
Chippewa,Wisconsin,20,0,0,20
Chisago,Minnesota,7,1,0,6
Chittenden,Vermont,378,22,0,356
Choctaw,Alabama,13,0,0,13
Choctaw,Mississippi,11,1,0,10
Choctaw,Oklahoma,3,0,0,3
Chowan,North Carolina,6,0,0,6
Christian,Illinois,24,4,0,20
Christian,Kentucky,78,3,0,75
Christian,Missouri,19,0,0,19
Churchill,Nevada,1,0,0,1
Cibola,New Mexico,30,2,0,28
Citrus,Florida,82,8,0,74
Clackamas,Oregon,153,4,0,149
Claiborne,Louisiana,48,4,0,44
Claiborne,Mississippi,8,0,0,8
Claiborne,Tennessee,5,0,0,5
Clallam,Washington,15,0,0,15
Clare,Michigan,7,1,0,6
Clarendon,South Carolina,106,6,0,100
Clarion,Pennsylvania,18,0,0,18
Clark,Arkansas,27,0,0,27
Clark,Illinois,4,0,0,4
Clark,Indiana,151,10,0,141
Clark,Kentucky,18,0,0,18
Clark,Missouri,1,0,0,1
Clark,Nevada,2738,124,0,2614
Clark,Ohio,25,0,0,25
Clark,South Dakota,1,0,0,1
Clark,Washington,277,16,0,261
Clark,Wisconsin,12,0,0,12
Clarke,Alabama,24,0,0,24
Clarke,Georgia,106,12,0,94
Clarke,Iowa,2,0,0,2
Clarke,Mississippi,21,1,0,20
Clarke,Virginia,6,0,0,6
Clatsop,Oregon,6,0,0,6
Clay,Alabama,14,0,0,14
Clay,Arkansas,1,0,0,1
Clay,Florida,216,9,0,207
Clay,Georgia,19,2,0,17
Clay,Illinois,1,0,0,1
Clay,Indiana,14,0,0,14
Clay,Iowa,2,0,0,2
Clay,Kansas,2,0,0,2
Clay,Minnesota,44,2,0,42
Clay,Mississippi,22,1,0,21
Clay,Missouri,55,1,0,54
Clay,Nebraska,2,0,0,2
Clay,North Carolina,5,0,0,5
Clay,South Dakota,5,0,0,5
Clay,Tennessee,5,0,0,5
Clay,Texas,3,0,0,3
Clayton,Georgia,491,14,0,477
Clayton,Iowa,7,1,0,6
Clear Creek,Colorado,11,0,0,11
Clearfield,Pennsylvania,9,0,0,9
Clearwater,Minnesota,3,0,0,3
Cleburne,Alabama,12,0,0,12
Cleburne,Arkansas,70,4,0,66
Clermont,Ohio,66,1,0,65
Cleveland,Arkansas,8,0,0,8
Cleveland,North Carolina,42,1,0,41
Cleveland,Oklahoma,301,21,0,280
Clinch,Georgia,7,0,0,7
Clinton,Illinois,42,0,0,42
Clinton,Indiana,16,1,0,15
Clinton,Iowa,39,0,0,39
Clinton,Kentucky,2,0,0,2
Clinton,Michigan,103,6,0,97
Clinton,Missouri,11,0,0,11
Clinton,New York,47,3,0,44
Clinton,Ohio,26,0,0,26
Clinton,Pennsylvania,10,0,0,10
Cloud,Kansas,3,0,0,3
Coahoma,Mississippi,45,1,0,44
Cobb,Georgia,1072,51,0,1021
Cochise,Arizona,20,0,0,20
Cocke,Tennessee,11,0,0,11
Coconino,Arizona,304,26,0,278
Codington,South Dakota,13,0,0,13
Coffee,Alabama,51,0,0,51
Coffee,Georgia,73,3,0,70
Coffee,Tennessee,17,0,0,17
Coffey,Kansas,45,6,0,39
Colbert,Alabama,13,1,0,12
Cole,Missouri,42,1,0,41
Coles,Illinois,9,0,0,9
Colfax,Nebraska,4,0,0,4
Colfax,New Mexico,3,0,0,3
Colleton,South Carolina,21,1,0,20
Collier,Florida,445,8,0,437
Collin,Texas,505,11,0,494
Colonial Heights,Virginia,19,0,0,19
Colorado,Texas,7,0,0,7
Colquitt,Georgia,115,5,0,110
Columbia,Arkansas,4,0,0,4
Columbia,Florida,35,0,0,35
Columbia,Georgia,90,1,0,89
Columbia,New York,101,10,0,91
Columbia,Oregon,14,0,0,14
Columbia,Pennsylvania,166,3,0,163
Columbia,Washington,1,0,0,1
Columbia,Wisconsin,27,1,0,26
Columbiana,Ohio,154,11,0,143
Columbus,North Carolina,55,2,0,53
Colusa,California,3,0,0,3
Comal,Texas,43,6,0,37
Comanche,Oklahoma,57,0,0,57
Comanche,Texas,3,0,0,3
Concho,Texas,1,0,0,1
Concordia,Louisiana,23,2,0,21
Conecuh,Alabama,8,0,0,8
Contra Costa,California,648,19,0,629
Converse,Wyoming,8,0,0,8
Conway,Arkansas,5,1,0,4
Cook,Georgia,11,1,0,10
Cook,Illinois,19391,760,0,18631
Cooke,Texas,4,0,0,4
Cooper,Missouri,4,0,0,4
Coos,New Hampshire,2,0,0,2
Coos,Oregon,1,0,0,1
Coosa,Alabama,20,1,0,19
Copiah,Mississippi,40,1,0,39
Corson,South Dakota,1,0,0,1
Cortland,New York,25,0,0,25
Coryell,Texas,71,1,0,70
Coshocton,Ohio,16,0,0,16
Costilla,Colorado,3,0,0,3
Cotton,Oklahoma,5,0,0,5
Cottonwood,Minnesota,6,0,0,6
Covington,Alabama,19,1,0,18
Covington,Mississippi,22,0,0,22
Covington,Virginia,1,0,0,1
Coweta,Georgia,149,3,0,146
Cowley,Kansas,1,1,0,0
Cowlitz,Washington,26,0,0,26
Craig,Oklahoma,7,0,0,7
Craig,Virginia,2,0,0,2
Craighead,Arkansas,40,1,0,39
Crane,Texas,2,0,0,2
Craven,North Carolina,33,1,0,32
Crawford,Arkansas,4,0,0,4
Crawford,Georgia,13,0,0,13
Crawford,Illinois,4,0,0,4
Crawford,Indiana,12,0,0,12
Crawford,Iowa,6,1,0,5
Crawford,Kansas,6,1,0,5
Crawford,Michigan,22,2,0,20
Crawford,Missouri,6,0,0,6
Crawford,Ohio,28,0,0,28
Crawford,Pennsylvania,16,0,0,16
Crawford,Wisconsin,3,0,0,3
Creek,Oklahoma,58,3,0,55
Crenshaw,Alabama,5,0,0,5
Crisp,Georgia,110,1,0,109
Crittenden,Arkansas,127,4,0,123
Crittenden,Kentucky,3,0,0,3
Crockett,Tennessee,0,0,0,0
Crook,Oregon,1,0,0,1
Crook,Wyoming,4,0,0,4
Crosby,Texas,1,1,0,0
Cross,Arkansas,8,0,0,8
Crow Wing,Minnesota,17,0,0,17
Crowley,Colorado,2,1,0,1
Cullman,Alabama,53,1,0,52
Culpeper,Virginia,32,0,0,32
Cumberland,Illinois,2,0,0,2
Cumberland,Kentucky,2,0,0,2
Cumberland,Maine,360,14,0,346
Cumberland,New Jersey,263,3,0,260
Cumberland,North Carolina,105,6,0,99
Cumberland,Pennsylvania,154,4,0,150
Cumberland,Tennessee,55,0,0,55
Cumberland,Virginia,8,0,0,8
Cuming,Nebraska,2,0,0,2
Currituck,North Carolina,3,0,0,3
Curry,New Mexico,10,0,0,10
Curry,Oregon,3,0,0,3
Custer,Colorado,2,0,0,2
Custer,Idaho,2,0,0,2
Custer,Nebraska,19,0,0,19
Custer,Oklahoma,7,0,0,7
Cuyahoga,Ohio,1383,48,0,1335
Dade,Georgia,7,1,0,6
Dakota,Minnesota,110,5,0,105
Dakota,Nebraska,9,0,0,9
Dale,Alabama,14,0,0,14
Dallam,Texas,3,0,0,3
Dallas,Alabama,21,2,0,19
Dallas,Arkansas,1,0,0,1
Dallas,Iowa,44,0,0,44
Dallas,Missouri,2,0,0,2
Dallas,Texas,2190,55,0,2135
Dane,Wisconsin,359,17,0,342
Danville,Virginia,22,0,0,22
Dare,North Carolina,15,1,0,14
Darke,Ohio,55,10,0,45
Darlington,South Carolina,52,0,0,52
Dauphin,Pennsylvania,311,7,0,304
Davidson,North Carolina,94,2,0,92
Davidson,Tennessee,1307,19,0,1288
Davie,North Carolina,23,2,0,21
Daviess,Indiana,27,1,0,26
Daviess,Kentucky,105,3,0,102
Daviess,Missouri,2,0,0,2
Davis,Utah,227,2,0,225
Davison,South Dakota,3,0,0,3
Dawson,Georgia,42,2,0,40
Dawson,Nebraska,24,0,0,24
Dawson,Texas,12,1,0,11
De Soto,Louisiana,145,8,0,137
De Witt,Illinois,1,0,0,1
DeKalb,Alabama,34,2,0,32
DeKalb,Georgia,1349,23,0,1326
DeKalb,Illinois,46,1,0,45
DeKalb,Indiana,11,1,0,10
DeKalb,Missouri,3,0,0,3
DeKalb,Tennessee,10,0,0,10
DeSoto,Florida,23,3,0,20
DeSoto,Mississippi,213,3,0,210
DeWitt,Texas,10,0,0,10
Deaf Smith,Texas,11,0,0,11
Dearborn,Indiana,63,5,0,58
Decatur,Georgia,55,0,0,55
Decatur,Indiana,165,17,0,148
Decatur,Tennessee,3,0,0,3
Deer Lodge,Montana,3,0,0,3
Defiance,Ohio,13,0,0,13
Del Norte,California,2,0,0,2
Delaware,Indiana,91,5,0,86
Delaware,Iowa,2,0,0,2
Delaware,New York,48,3,0,45
Delaware,Ohio,119,3,0,116
Delaware,Oklahoma,74,2,0,72
Delaware,Pennsylvania,2226,73,0,2153
Delta,Colorado,13,1,0,12
Delta,Michigan,10,1,0,9
Delta,Texas,1,0,0,1
Denton,Texas,564,15,0,549
Denver,Colorado,1549,63,0,1486
Des Moines,Iowa,8,0,0,8
Deschutes,Oregon,61,0,0,61
Desha,Arkansas,6,0,0,6
Deuel,South Dakota,1,0,0,1
Dewey,Oklahoma,2,0,0,2
Dickens,Texas,1,0,0,1
Dickenson,Virginia,0,0,0,0
Dickinson,Iowa,1,0,0,1
Dickinson,Kansas,1,0,0,1
Dickinson,Michigan,3,2,0,1
Dickson,Tennessee,39,0,0,39
Dillon,South Carolina,11,0,0,11
Dimmit,Texas,1,0,0,1
Dinwiddie,Virginia,7,0,0,7
District of Columbia,District of Columbia,2476,86,0,2390
Divide,North Dakota,1,0,0,1
Dixie,Florida,3,0,0,3
Dodge,Georgia,19,0,0,19
Dodge,Minnesota,17,0,0,17
Dodge,Nebraska,12,0,0,12
Dodge,Wisconsin,20,1,0,19
